"Totala utsläpp av luftföroreningar  efter luftförorening, sektor och år"

"luftförorening","sektor","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Krom (Cr) (kg)","NATIONELL TOTAL (exklusive internationella transporter)",22648.4,18626.5,16571.4,16765.6,15262.4,12145.1,10647.4,8825.5,7604.5,6675.6,6998.0,7549.4,9162.5,7444.7,8292.3,10110.3,10563.4,13265.5,9715.0,3391.0,5105.0,6498.8,5118.9,4940.9,4547.1,5447.8,5552.6,6670.8,6026.6,5979.1,5182.0,6303.3
"Krom (Cr) (kg)","NATIONELL TOTAL (inklusive internationella transporter)",23351.4,19476.1,17522.5,17701.9,16376.4,13249.4,11667.7,10054.8,8956.5,8061.5,8290.3,8838.2,10280.8,8880.4,9889.1,11595.2,12010.3,14686.2,11102.5,4857.5,6415.1,7553.0,6099.7,5841.6,5472.4,6138.3,6392.4,7684.7,6857.5,7015.0,6361.5,7420.4
"Koppar (Cu) (kg)","NATIONELL TOTAL (exklusive internationella transporter)",65793.0,62984.6,71860.5,60671.5,52025.8,51823.5,52816.2,53613.7,52172.7,48608.6,46098.7,43639.7,42075.9,40753.0,39190.2,38065.4,38383.0,41629.6,39257.9,37597.8,38094.6,38608.1,37738.2,37593.4,37931.2,38443.1,39450.2,40465.4,40880.3,40055.1,37705.3,38236.2
"Koppar (Cu) (kg)","NATIONELL TOTAL (inklusive internationella transporter)",67704.0,65162.6,74313.2,63062.6,54849.2,54634.7,55500.6,56843.9,55784.5,52202.3,49415.9,46887.0,44927.1,44353.4,43052.4,41677.5,41895.0,45053.1,42510.9,41005.9,41321.5,41309.4,40303.3,39983.8,40528.7,41395.1,42559.8,43996.9,43531.6,43263.7,41589.0,42041.9
"Nickel (Ni) (kg)","NATIONELL TOTAL (exklusive internationella transporter)",28185.4,27239.2,25961.1,27799.0,31601.5,30041.0,30096.7,24611.2,23532.0,19118.9,17352.8,17874.9,18667.3,19311.9,17047.0,15480.1,15995.0,13458.0,12139.5,11532.4,13764.0,11081.8,10500.8,9035.1,7466.5,6678.7,7105.3,6617.8,6946.2,6232.1,5445.1,6048.8
"Nickel (Ni) (kg)","NATIONELL TOTAL (inklusive internationella transporter)",50126.4,53885.8,55775.2,57173.5,66573.0,64694.6,62029.4,63089.8,65790.0,62543.5,57883.2,58351.0,53757.1,64418.6,67356.9,62245.5,61566.6,58232.1,55955.5,57872.9,54983.3,44145.0,41210.6,37204.5,36264.4,27172.8,32503.6,37503.4,32496.4,38178.6,41592.2,40160.5
"Selen (Se) (kg)","NATIONELL TOTAL (exklusive internationella transporter)",1018.9,994.1,1016.5,1089.1,1143.7,1151.7,1212.2,1131.7,1095.4,984.0,1006.4,1016.7,1030.2,1074.4,1074.5,1070.4,1093.1,1134.5,1152.1,1044.6,1230.8,1216.6,1200.7,1143.7,1097.5,1044.4,1066.1,1126.8,1106.6,1109.5,1070.6,1109.4
"Selen (Se) (kg)","NATIONELL TOTAL (inklusive internationella transporter)",1036.9,1016.0,1041.0,1113.2,1172.4,1180.2,1238.4,1163.3,1130.1,1019.7,1039.7,1050.0,1059.1,1111.5,1115.9,1108.9,1130.6,1171.3,1188.2,1082.8,1264.7,1243.7,1225.9,1166.8,1121.1,1060.9,1086.8,1152.0,1127.5,1135.7,1100.1,1137.3
"Zink (Zn) (kg)","NATIONELL TOTAL (exklusive internationella transporter)",189972.5,162425.1,142742.9,145308.9,148387.7,134882.8,128658.6,115484.9,117160.5,97930.2,93057.6,100186.8,94848.5,96714.5,94909.4,98709.4,104064.6,103682.1,99927.0,90684.9,99103.2,89779.4,90056.7,81653.7,83491.6,82249.9,78515.2,77356.6,75712.2,73538.0,67592.1,68088.6
"Zink (Zn) (kg)","NATIONELL TOTAL (inklusive internationella transporter)",191624.4,164370.4,144926.2,147449.1,150925.8,137403.6,131021.5,118330.3,120312.7,101119.2,96018.3,103115.6,97402.9,99970.6,98475.6,102033.7,107300.7,106850.0,102985.7,93906.0,102051.8,92192.7,92322.1,83747.6,85697.9,84290.6,80810.3,80040.9,77817.5,76125.0,70627.3,71012.9
"Dioxin (g I-Teq)","NATIONELL TOTAL (exklusive internationella transporter)",59.6,52.4,47.6,43.8,39.0,33.7,30.5,30.1,28.2,27.6,26.9,24.9,24.9,24.1,25.2,25.8,22.7,20.5,20.4,18.4,20.7,19.0,17.8,17.6,16.8,16.7,17.7,17.4,17.2,16.9,16.8,17.0
"Dioxin (g I-Teq)","NATIONELL TOTAL (inklusive internationella transporter)",60.1,52.9,48.2,44.4,39.7,34.4,31.1,30.9,29.1,28.5,27.7,25.7,25.7,25.0,26.2,26.8,23.6,21.4,21.3,19.3,21.6,19.7,18.5,18.2,17.4,17.2,18.3,18.1,17.8,17.6,17.6,17.8
"benso(a)pyren (kg)","NATIONELL TOTAL (exklusive internationella transporter)",6378.8,6744.8,6156.9,6156.0,6074.2,6371.6,6523.4,5566.6,5503.3,5894.4,4941.2,4969.3,4827.2,5120.6,4891.5,5379.4,5417.1,5034.6,5037.0,3457.5,3408.0,3333.3,3116.4,2991.6,2723.5,2630.0,2616.4,2579.9,2232.7,2216.2,2089.7,2064.0
"benso(a)pyren (kg)","NATIONELL TOTAL (inklusive internationella transporter)",6390.7,6759.1,6172.8,6171.7,6092.9,6390.1,6540.7,5587.3,5526.2,5917.8,4962.9,4990.8,4845.9,5144.6,4918.0,5404.1,5441.1,5058.1,5059.8,3481.5,3429.8,3351.0,3132.9,3006.8,2739.4,2643.5,2632.1,2598.5,2247.5,2234.4,2110.9,2084.3
"benso(b)fluoranten (kg)","NATIONELL TOTAL (exklusive internationella transporter)",6185.8,6514.9,5947.5,5894.8,5844.2,6078.6,6243.6,5323.0,5300.3,5703.5,4747.7,4819.6,4704.0,5000.2,4807.7,5291.9,5375.0,5017.1,5025.5,3463.2,3422.3,3361.5,3166.2,3045.0,2782.2,2704.8,2704.6,2680.6,2337.2,2318.9,2202.8,2183.4
"benso(b)fluoranten (kg)","NATIONELL TOTAL (inklusive internationella transporter)",6232.7,6571.6,6010.9,5957.2,5918.4,6152.2,6311.6,5404.9,5390.4,5795.8,4833.8,4905.5,4778.5,5095.9,4914.1,5390.8,5471.3,5111.7,5117.9,3560.9,3509.5,3431.7,3231.6,3105.1,2843.9,2751.2,2760.9,2748.4,2392.7,2388.1,2281.7,2258.1
"benso(k)fluoranten (kg)","NATIONELL TOTAL (exklusive internationella transporter)",2961.8,3315.7,2657.8,2590.2,2673.9,2883.3,3063.6,2400.5,2764.6,3210.8,2303.9,2468.3,2368.4,2531.6,2500.0,2906.4,3234.8,2825.8,2829.8,1248.6,1232.1,1206.2,1131.4,1085.9,988.3,958.0,954.6,942.9,817.2,809.1,765.4,755.8
"benso(k)fluoranten (kg)","NATIONELL TOTAL (inklusive internationella transporter)",2975.7,3332.3,2676.4,2608.5,2695.7,2904.9,3083.6,2424.6,2791.1,3238.0,2329.2,2493.5,2390.2,2559.6,2531.0,2935.3,3262.9,2853.4,2856.6,1277.0,1257.6,1226.8,1150.6,1103.6,1006.6,972.6,971.9,963.6,834.0,829.8,789.2,778.5
"Indeno(1,2,3-cd)pyren (kg)","NATIONELL TOTAL (exklusive internationella transporter)",3141.9,3233.1,3201.9,3270.7,3131.6,3257.9,3262.6,2920.9,2621.2,2626.6,2468.0,2378.7,2329.7,2457.3,2284.0,2396.6,2187.5,2152.3,2150.6,1954.3,1927.0,1871.7,1742.2,1669.3,1513.1,1457.7,1445.7,1420.4,1224.2,1212.7,1134.4,1120.1
"Indeno(1,2,3-cd)pyren (kg)","NATIONELL TOTAL (inklusive internationella transporter)",3163.0,3258.1,3230.0,3298.3,3164.3,3290.3,3292.8,2957.4,2661.5,2667.6,2506.1,2416.4,2362.6,2499.2,2330.2,2439.6,2229.4,2193.4,2190.4,1996.2,1965.1,1902.8,1771.2,1696.1,1541.2,1482.3,1473.9,1453.6,1250.6,1245.2,1172.2,1156.4
"PAH 1-4 (kg)","NATIONELL TOTAL (exklusive internationella transporter)",19827.5,20843.5,19032.5,19026.8,18919.3,19665.4,19936.1,17186.2,17134.7,18325.6,15454.7,15564.7,15196.1,16024.3,15433.5,16884.7,17167.1,16010.2,15936.7,10610.2,10771.3,10636.6,9820.4,9442.9,8763.5,8517.8,8506.2,8466.6,7447.0,7403.7,6979.5,6955.7
"PAH 1-4 (kg)","NATIONELL TOTAL (inklusive internationella transporter)",19921.3,20956.0,19158.6,19150.8,19066.6,19811.5,20071.6,17349.5,17314.7,18509.4,15625.9,15735.0,15344.1,16213.9,15643.4,17080.1,17357.4,16196.9,16118.5,10802.2,10943.9,10776.2,9950.6,9562.7,8887.5,8616.9,8623.5,8606.9,7560.4,7544.5,7141.3,7109.7
"HCB (kg)","NATIONELL TOTAL (exklusive internationella transporter)",16.6,16.6,16.6,16.7,16.8,16.8,16.9,16.8,16.8,16.7,10.6,5.9,8.5,14.4,3.5,4.5,5.3,5.8,3.7,9.9,6.6,4.3,3.8,4.3,3.4,3.8,2.7,3.1,2.8,2.7,2.6,3.1
"HCB (kg)","NATIONELL TOTAL (inklusive internationella transporter)",16.7,16.8,16.8,16.9,17.1,17.1,17.2,17.1,17.1,17.0,10.9,6.2,8.8,14.7,3.9,4.8,5.6,6.1,3.9,10.2,6.8,4.5,4.0,4.5,3.6,4.0,2.9,3.3,3.0,3.0,2.9,3.3
"PCB  (kg)","NATIONELL TOTAL (exklusive internationella transporter)",9.2,8.5,8.0,8.6,9.0,9.6,9.2,9.9,9.6,8.7,9.8,9.4,9.5,9.0,9.5,9.4,9.8,10.0,9.5,6.4,9.2,9.8,8.8,8.5,9.0,9.1,9.2,9.5,9.4,9.2,8.8,9.1
"PCB  (kg)","NATIONELL TOTAL (inklusive internationella transporter)",9.8,9.2,8.8,9.3,9.9,10.5,10.0,10.9,10.8,9.8,10.9,10.4,10.4,10.1,10.7,10.6,10.9,11.1,10.6,7.5,10.2,10.7,9.6,9.2,9.8,9.9,10.1,10.6,10.2,10.2,9.9,10.2
